session_id,n_patients,test_objective
1,6,84.2632
2,5,48.641200000000005
3,5,66.9856
6,4,36.361599999999996
7,4,39.105199999999996
8,4,38.4536
11,6,87.6092
13,6,110.24
14,6,74.3184
15,5,62.593599999999995
16,4,32.98
17,5,51.1152
18,5,65.4316
21,5,64.474
22,4,39.4468
23,6,113.61880000000001
24,4,35.9572
25,5,66.33760000000001
27,5,52.830400000000004
28,6,67.776
29,5,59.984
30,5,47.6464
31,5,63.586400000000005
33,6,121.6704
35,5,61.5944
36,5,61.6412
37,4,38.4164
38,6,75.752
39,5,68.038
41,5,62.512
43,5,60.7692
44,5,69.25280000000001
45,4,33.6372
46,4,33.692800000000005
47,6,124.7808
48,4,40.778
50,5,60.0184
53,6,77.0488
54,6,122.5012
56,5,66.2832
57,6,73.4868
59,4,34.663199999999996
60,5,66.1104
62,6,75.88080000000001
65,6,70.8852
66,4,35.384
67,4,36.7428
68,6,122.0956
71,6,121.7392
72,4,36.644
75,6,114.2068
77,5,48.7964
79,5,68.9696
81,6,109.5304
84,6,74.4756
86,5,63.7756
87,6,114.8012
88,5,56.3988
90,5,53.285599999999995
91,6,74.7976
92,5,73.98960000000001
94,6,123.2108
95,6,74.15960000000001
96,6,72.05
97,6,107.84639999999999
99,5,59.2176
103,5,70.954
106,6,110.1616
108,6,66.8216
109,5,60.459199999999996
110,5,62.224
111,6,125.87039999999999
112,5,62.4936
113,5,64.2364
114,6,67.51039999999999
117,5,68.5752
118,5,49.6256
119,6,111.0296
120,6,121.6768
121,5,69.7108
124,5,69.896
125,5,65.7972
126,5,54.68
128,5,50.604800000000004
131,6,116.428
132,4,38.292
133,5,70.20960000000001
134,5,61.844
135,6,72.9932
138,6,72.9152
139,4,37.0072
140,5,50.866800000000005
142,4,35.4416
143,6,117.28760000000001
144,5,59.3092
145,6,72.9756
146,5,62.803599999999996
147,5,63.6624
149,5,52.720800000000004
151,6,117.7932
152,4,34.541599999999995
153,5,49.947199999999995
155,6,120.43560000000001
158,5,70.196
161,5,66.7796
164,6,124.1532
166,6,119.48519999999999
168,6,69.9856
170,6,113.1868
172,6,117.7716
173,6,117.65
174,6,69.49239999999999
176,6,122.8836
177,5,65.3604
178,6,111.8352
181,5,61.2756
182,5,51.313199999999995
183,6,73.07560000000001
184,5,57.960800000000006
185,6,75.784
188,5,66.5308
189,6,72.5592
190,6,116.9524
193,5,69.6612
194,5,68.6964
195,6,74.55760000000001
197,4,33.285599999999995
198,6,67.1388
199,5,70.17
202,4,37.678
203,6,75.7168
204,6,117.45039999999999
207,6,118.96119999999999
210,5,51.6592
211,5,62.5908
213,4,39.0272
215,6,66.7512
217,5,77.4028
218,6,116.2932
220,6,73.9128
222,5,61.2636
223,6,121.4524
224,5,61.8048
226,6,112.3772
227,4,34.0212
228,5,62.778
229,4,36.22
232,5,66.6464
234,6,104.69319999999999
235,5,62.3116
236,6,127.61919999999999
238,6,73.7632
241,5,61.2392
243,6,120.6408
246,5,65.10040000000001
249,5,49.6884
252,6,123.01639999999999
255,5,51.2504
256,5,65.6908
258,5,70.0572
259,6,118.8908
260,6,74.3836
262,5,70.1888
264,5,65.7116
265,5,52.677200000000006
266,5,65.184
270,6,78.8624
271,6,112.3712
